timestamp,link_name,length_meters,travel_time_seconds,traffic_delay_seconds
2026-06-21 19:20:52,ZoneA_Batha_Link1,5582,1474,497
2026-06-21 19:20:52,ZoneA_Batha_Link2,2848,415,7
2026-06-21 19:20:52,ZoneA_Firyan_Link1,2482,528,0
2026-06-21 19:20:52,ZoneA_Firyan_Link2,2246,428,1
2026-06-21 19:20:52,ZoneA_Firyan_Link3,1804,252,0
2026-06-21 19:20:52,ZoneA_PrinceMohd_Link1,1013,187,0
2026-06-21 19:20:52,ZoneA_PrinceMohd_Link2,2831,513,10
2026-06-21 19:20:52,ZoneA_PrinceMohd_Link3,1173,181,0
2026-06-21 19:36:03,ZoneA_Batha_Link1,2443,891,627
2026-06-21 19:36:03,ZoneA_Batha_Link2,2848,420,11
2026-06-21 19:36:03,ZoneA_Firyan_Link1,2482,507,0
2026-06-21 19:36:03,ZoneA_Firyan_Link2,2246,426,12
2026-06-21 19:36:03,ZoneA_Firyan_Link3,1804,248,0
2026-06-21 19:36:03,ZoneA_PrinceMohd_Link1,1013,192,11
2026-06-21 19:36:03,ZoneA_PrinceMohd_Link2,2831,503,8
2026-06-21 19:36:03,ZoneA_PrinceMohd_Link3,1173,178,0
2026-06-21 19:51:14,ZoneA_Batha_Link1,2443,641,374
2026-06-21 19:51:14,ZoneA_Batha_Link2,2848,411,0
2026-06-21 19:51:14,ZoneA_Firyan_Link1,2482,493,0
2026-06-21 19:51:14,ZoneA_Firyan_Link2,2246,485,93
2026-06-21 19:51:14,ZoneA_Firyan_Link3,1804,245,0
2026-06-21 19:51:14,ZoneA_PrinceMohd_Link1,1013,177,0
2026-06-21 19:51:14,ZoneA_PrinceMohd_Link2,2831,491,0
2026-06-21 19:51:14,ZoneA_PrinceMohd_Link3,1173,177,0
2026-06-21 20:06:25,ZoneA_Batha_Link1,2443,403,90
2026-06-21 20:06:25,ZoneA_Batha_Link2,2848,419,31
2026-06-21 20:06:25,ZoneA_Firyan_Link1,1895,500,0
2026-06-21 20:06:25,ZoneA_Firyan_Link2,1489,431,11
2026-06-21 20:06:25,ZoneA_Firyan_Link3,1804,236,5
2026-06-21 20:06:25,ZoneA_PrinceMohd_Link1,1013,251,88
